GeneID	Symbol	fold.change	q_value	p_value	up_down
1466	CSRP2	-0.5224901	0.00025874788151331	0.00453398187303138	down
3148	HMGB2	-0.5193151	1.0973006686855e-06	0.000741881268696979	down
4069	LYZ	-0.5189325	0.0464629897703145	1	down
4781	NFIB	-0.540527	0.00744225358927037	0.00657000933494193	down
5918	RARRES1	-0.6584928	0.00788149130825173	0.00453398187303138	down
8424	BBOX1	-0.5283984	0.00641602898319806	0.00657000933494193	down
10865	ARID5A	-0.5267384	0.0363702590469057	1	down
10874	NMU	-0.5294153	0.0186204659038222	0.00906777850618977	down
26577	PCOLCE2	-1.007867	0.0248211176818299	1	down
55344	PLCXD1	-0.6222832	0.0209145086295519	1	down
64359	NXN	-0.5631839	0.0459870908939727	1	down
64506	CPEB1	-0.5176997	0.00947330487469204	1	down
79623	GALNT14	-0.9693415	0.0213985898486582	1	down
79651	RHBDF2	-0.7727974	0.000595686336629669	1	down
79870	BAALC	-0.6254476	0.0234007720571718	1	down
83643	CCDC3	-0.6723223	0.0196200058299779	1	down
83937	RASSF4	-0.5375721	0.0401255868661762	1	down
84444	DOT1L	-0.5201196	4.81729111749392e-05	1	down
91107	TRIM47	-0.5825902	0.0114923301257714	1	down
92737	DNER	-0.8067296	0.000313867010474146	1	down
144195	SLC2A14	-0.7577936	0.0107667181140745	1	down
192137	C2orf12	-0.7311754	0.00896458380286023	1	down
201627	FAM116A	-0.5363179	0.0156779512628094	1	down
255926	TMDCII	-0.590598	0.0025872452147492	1	down
348093	RBPMS2	-0.6307767	0.0047009194586732	1	down
